epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13151.8,0.7211,0.63173,1.00479,0.88631,0.81937,0.89913,0.71729,0.73442,0.52465,1.07907,0.005842,0.005842,0.005842
44,13453.1,0.7201,0.63,1.00538,0.88423,0.82425,0.90018,0.71933,0.73294,0.5229,1.0776,0.005743,0.005743,0.005743
45,13754.1,0.71577,0.62586,1.0032,0.88715,0.82011,0.9006,0.71908,0.73201,0.5212,1.07657,0.005644,0.005644,0.005644
46,14054.7,0.71633,0.62232,1.00168,0.88665,0.82469,0.90102,0.72081,0.73089,0.51974,1.07556,0.005545,0.005545,0.005545
47,14355.4,0.71547,0.61955,1.00315,0.88937,0.8244,0.9023,0.72268,0.72971,0.51846,1.07481,0.005446,0.005446,0.005446
48,14656.1,0.71009,0.61359,1.00086,0.8882,0.82893,0.90315,0.72464,0.72884,0.51691,1.07425,0.005347,0.005347,0.005347
49,14957.2,0.71161,0.61294,0.99986,0.88925,0.82944,0.90365,0.72625,0.72836,0.51441,1.07319,0.005248,0.005248,0.005248
50,15258.3,0.7116,0.60984,0.99879,0.88975,0.83078,0.90468,0.72946,0.72741,0.51136,1.07222,0.005149,0.005149,0.005149
51,15558.9,0.70763,0.60754,0.99869,0.89175,0.83249,0.90535,0.73018,0.72642,0.50921,1.0714,0.00505,0.00505,0.00505
52,15860,0.70867,0.60162,0.99869,0.89313,0.83437,0.906,0.73176,0.72582,0.50643,1.07033,0.004951,0.004951,0.004951
53,16161.2,0.70438,0.59958,0.99611,0.89734,0.83303,0.90703,0.73328,0.72492,0.50408,1.06922,0.004852,0.004852,0.004852
54,16462.3,0.70179,0.59663,0.9964,0.89961,0.83288,0.9077,0.73424,0.72435,0.50174,1.06866,0.004753,0.004753,0.004753
55,16762.6,0.70036,0.59233,0.99537,0.9008,0.83564,0.90884,0.73595,0.72364,0.49973,1.06826,0.004654,0.004654,0.004654
56,17063.8,0.69909,0.58833,0.99496,0.90427,0.83801,0.91063,0.73779,0.72276,0.49731,1.06728,0.004555,0.004555,0.004555
57,17364.5,0.69737,0.58708,0.99339,0.90404,0.83919,0.91055,0.73874,0.7217,0.49431,1.06654,0.004456,0.004456,0.004456
58,17665.2,0.69479,0.58384,0.99297,0.90414,0.83906,0.91129,0.73982,0.72065,0.49244,1.06539,0.004357,0.004357,0.004357
59,17965.7,0.69106,0.57942,0.99115,0.90903,0.83993,0.91224,0.74132,0.71979,0.49016,1.06433,0.004258,0.004258,0.004258
60,18266.8,0.6903,0.57672,0.99018,0.91211,0.84009,0.91294,0.74245,0.7189,0.4878,1.06298,0.004159,0.004159,0.004159
61,18567.3,0.68787,0.57249,0.98815,0.91579,0.83685,0.9118,0.7427,0.71753,0.48582,1.06182,0.00406,0.00406,0.00406
62,18867.7,0.6853,0.57025,0.98877,0.91314,0.83726,0.9119,0.74306,0.71672,0.48397,1.06092,0.003961,0.003961,0.003961
63,19168,0.68635,0.56777,0.98784,0.91214,0.8401,0.91255,0.74309,0.71552,0.48241,1.05991,0.003862,0.003862,0.003862
64,19469.2,0.6851,0.56547,0.98864,0.90905,0.84165,0.91347,0.7436,0.71477,0.48007,1.05925,0.003763,0.003763,0.003763
65,19770.2,0.68295,0.56139,0.98622,0.90869,0.84379,0.91408,0.74415,0.7141,0.47825,1.05855,0.003664,0.003664,0.003664
66,20071.4,0.68187,0.55997,0.98623,0.9063,0.84625,0.91476,0.74452,0.71275,0.47595,1.05762,0.003565,0.003565,0.003565
67,20371.9,0.6792,0.55651,0.98615,0.90816,0.84834,0.91552,0.74519,0.71151,0.47397,1.05677,0.003466,0.003466,0.003466
68,20672.8,0.67791,0.55348,0.98491,0.90757,0.84832,0.91675,0.74624,0.7109,0.47215,1.05623,0.003367,0.003367,0.003367
69,20973.8,0.6752,0.55009,0.98248,0.90954,0.84762,0.91787,0.74778,0.71031,0.47065,1.0556,0.003268,0.003268,0.003268
70,21274.5,0.67391,0.54601,0.98244,0.90844,0.85348,0.91796,0.74557,0.7092,0.46865,1.0543,0.003169,0.003169,0.003169
71,21575.1,0.67102,0.54375,0.98137,0.90727,0.85428,0.91749,0.7482,0.70879,0.46659,1.05364,0.00307,0.00307,0.00307
72,21876.5,0.66954,0.5388,0.97902,0.90957,0.85313,0.91864,0.74772,0.70781,0.46496,1.05245,0.002971,0.002971,0.002971
73,22177,0.66758,0.53563,0.97849,0.90976,0.85369,0.91875,0.75001,0.7063,0.46273,1.05105,0.002872,0.002872,0.002872
74,22477.9,0.66394,0.53307,0.97787,0.90893,0.85383,0.91919,0.74965,0.70534,0.46048,1.04999,0.002773,0.002773,0.002773
75,22778.5,0.66431,0.53067,0.97726,0.90476,0.8569,0.91968,0.75255,0.70473,0.45878,1.04919,0.002674,0.002674,0.002674
76,23079.4,0.66078,0.52733,0.97594,0.90917,0.85622,0.92063,0.75271,0.70395,0.45768,1.04844,0.002575,0.002575,0.002575
77,23380.1,0.65853,0.52365,0.97524,0.91032,0.85716,0.92192,0.75244,0.70306,0.4558,1.04762,0.002476,0.002476,0.002476
78,23681,0.65724,0.52047,0.97391,0.90882,0.85722,0.92267,0.75455,0.702,0.4547,1.04675,0.002377,0.002377,0.002377
79,23981.6,0.65327,0.51529,0.97243,0.89871,0.86875,0.92349,0.75379,0.701,0.45313,1.04593,0.002278,0.002278,0.002278
80,24282.8,0.65325,0.51348,0.97153,0.89699,0.87,0.92378,0.7546,0.69973,0.45214,1.04482,0.002179,0.002179,0.002179
81,24583.8,0.64961,0.50903,0.97062,0.89994,0.87049,0.92546,0.75504,0.69929,0.45101,1.04398,0.00208,0.00208,0.00208
82,24884.9,0.64796,0.50507,0.96965,0.91048,0.863,0.92534,0.75494,0.69829,0.45006,1.04282,0.001981,0.001981,0.001981
83,25186,0.64487,0.50166,0.96959,0.90967,0.86431,0.92626,0.75596,0.69737,0.44869,1.04189,0.001882,0.001882,0.001882
84,25487.8,0.64389,0.49927,0.96888,0.90958,0.8659,0.92672,0.7564,0.69693,0.44748,1.04132,0.001783,0.001783,0.001783
85,25788.2,0.64219,0.49775,0.96783,0.90805,0.86833,0.92611,0.75593,0.69618,0.44572,1.04047,0.001684,0.001684,0.001684
